USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
m         2912  0.0  0.0  33488  4360 ?        Ss   Feb06   0:14          \_ dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-HuJLrMNHJW
m         2923  0.0  0.0  22304  2116 ?        Ss   Feb06   0:00          \_ upstart-event-bridge
m         2931  0.0  0.0  78324  3644 ?        Ss   Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
m         2950  0.0  0.0  22376  1624 ?        S    Feb06   0:02          \_ upstart-dbus-bridge --daemon --session --user --bus-name session
m         2951  0.0  0.0  22312   116 ?        S    Feb06   0:00          \_ upstart-dbus-bridge --daemon --system --user --bus-name system
m         2956  0.0  0.0  22568  1836 ?        S    Feb06   0:00          \_ upstart-file-bridge --daemon --user
m         2959  0.0  0.0 562724 18576 ?        Sl   Feb06   0:13          \_ /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
m         2962  0.0  0.0 337576  5136 ?        Sl   Feb06   0:00          \_ /usr/lib/at-spi2-core/at-spi-bus-launcher
m         2974  0.0  0.0  31368  3160 ?        S    Feb06   0:03          |   \_ /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
m         2963  0.0  0.0 369884 26272 ?        Ssl  Feb06   1:32          \_ /usr/bin/ibus-daemon --daemonize --xim
m         3071  0.0  0.0 280884  5460 ?        Sl   Feb06   0:00          |   \_ /usr/lib/ibus/ibus-dconf
m         3076  0.0  0.0 501924 26172 ?        Sl   Feb06   0:21          |   \_ /usr/lib/ibus/ibus-ui-gtk3
m         3191  0.0  0.0 205152  5620 ?        Sl   Feb06   0:13          |   \_ /usr/lib/ibus/ibus-engine-simple
m         2980  0.0  0.0 125016  5692 ?        Sl   Feb06   0:09          \_ /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
m         2991  0.0  0.0 484504  6396 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfsd
m         2999  0.0  0.0 345668  5344 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
m         3010  0.0  0.0 810020 24804 ?        Ssl  Feb06   0:05          \_ /usr/lib/unity-settings-daemon/unity-settings-daemon
m         3015  0.0  0.3 833972 109120 ?       Ssl  Feb06   0:13          \_ /usr/lib/x86_64-linux-gnu/hud/hud-service
m         3019  0.0  0.0 575712 18016 ?        Ssl  Feb06   0:01          \_ gnome-session --session=ubuntu
m         3264  0.9  0.7 2271700 234076 ?      Sl   Feb06  31:11          |   \_ compiz
m         3273  0.0  0.0 363144 13360 ?        Sl   Feb06   0:00          |   \_ /usr/bin/python -O /usr/share/wicd/gtk/wicd-client.py --tray
m         3274  0.0  0.0 550952 15196 ?        Sl   Feb06   0:01          |   \_ /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
m         3278  0.0  0.0 687680 26424 ?        SLl  Feb06   0:00          |   \_ nm-applet
m         3279  0.0  0.2 1749316 71384 ?       Sl   Feb06   0:49          |   \_ nautilus -n
m         3281  0.0  0.0 646072 23296 ?        Sl   Feb06   0:00          |   \_ /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
m         3860  0.0  0.0 455164 14728 ?        Sl   Feb06   0:00          |   \_ telepathy-indicator
m         4192  0.0  0.0 574144 22400 ?        Sl   Feb06   0:01          |   \_ update-notifier
root      4221  0.0  0.0      0     0 ?        Z    Feb06   0:00          |   |   \_ [pkexec] <defunct>
m         4784  0.0  0.0 378008  6392 ?        Sl   Feb06   0:00          |   \_ /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
m         3029  0.0  0.1 595268 52752 ?        Ssl  Feb06   0:31          \_ /usr/lib/unity/unity-panel-service
m         3083  0.0  0.0 386972 11324 ?        Sl   Feb06   0:00          \_ /usr/lib/ibus/ibus-x11 --kill-daemon
m         3107  0.0  0.0 728172 18576 ?        Sl   Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
m         3111  0.0  0.0 335116  3668 ?        Ssl  Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
m         3112  0.0  0.0 263644  4552 ?        Ssl  Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
m         3120  0.0  0.0 278456  7184 ?        Ssl  Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
m         3122  0.0  0.0 1089516 10240 ?       Ssl  Feb06   0:01          \_ /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
m         3128  0.0  0.0 480120 10812 ?        Ssl  Feb06   0:03          \_ /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
m         3129  0.0  0.0 438528 17160 ?        Ssl  Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
m         3131  0.0  0.0 893732  9884 ?        Ssl  Feb06   0:02          \_ /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
m         3144  0.0  0.0 286756  8144 ?        Ssl  Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
m         3163  0.1  0.0 661424 10520 ?        S<l  Feb06   5:43          \_ /usr/bin/pulseaudio --start --log-target=syslog
m         3167  0.0  0.0 964280 11044 ?        Sl   Feb06   0:00          \_ /usr/lib/evolution/evolution-source-registry
m         3197  0.0  0.0 178308  4656 ?        Sl   Feb06   0:00          \_ /usr/lib/dconf/dconf-service
m         3214  0.0  0.0 934460 12996 ?        Sl   Feb06   0:00          \_ /usr/lib/evolution/evolution-calendar-factory
m         3258  0.0  0.1 559288 53108 ?        Sl   Feb06   0:26          \_ /usr/lib/x86_64-linux-gnu/notify-osd
m         3302  0.0  0.0 364684  8160 ?        Sl   Feb06   0:01          \_ /usr/lib/gvfs/gvfs-udisks2-volume-monitor
m         3328  0.0  0.0 212580  4856 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
m         3332  0.0  0.0 200280  4476 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfs-mtp-volume-monitor
m         3336  0.0  0.0 285976  4960 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfs-afc-volume-monitor
m         3362  0.0  0.0 433348  5872 ?        Sl   Feb06   0:07          \_ /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
m         3385  0.0  0.0 270384  3824 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
m         3431  0.0  0.0  50036  4136 ?        S    Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
m         3470  0.0  0.0 665196 13796 ?        Sl   Feb06   0:01          \_ /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
m         3481  0.0  0.0 659512 14488 ?        Sl   Feb06   0:02          \_ /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
m         3483  0.0  0.0 815788  9356 ?        Sl   Feb06   0:00          \_ /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
m         3492  0.0  0.0 349144  6744 ?        Sl   Feb06   0:00          \_ /usr/bin/zeitgeist-daemon
m         3498  0.0  0.0 337772  4552 ?        Sl   Feb06   0:01          \_ /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
m         3505  0.0  0.1 373184 44872 ?        Sl   Feb06   0:03          \_ /usr/lib/x86_64-linux-gnu/zeitgeist-fts
m         3519  0.0  0.0  11416   332 ?        S    Feb06   0:00          |   \_ /bin/cat
m         3507  0.0  0.0 443320 13280 ?        Sl   Feb06   0:04          \_ zeitgeist-datahub
m         3661  0.0  0.0 1160284 23064 ?       Sl   Feb06   0:03          \_ /usr/lib/gvfs/gvfsd-http --spawner :1.9 /org/gtk/gvfs/exec_spaw/2
m         3866  0.0  0.0 322480  9428 ?        Sl   Feb06   0:00          \_ /usr/lib/telepathy/mission-control-5
m         3933  0.0  0.0 124896  5228 ?        Sl   Feb06   0:00          \_ /usr/lib/gvfs/gvfsd-metadata
m         3948  0.0  0.0 664296 30980 ?        Sl   Feb06   1:26          \_ gnome-terminal
m         3956  0.0  0.0   6820   568 ?        S    Feb06   0:00          |   \_ gnome-pty-helper
m         3957  0.0  0.0  20144  3072 pts/4    Ss+  Feb06   0:00          |   \_ bash
m         6583  0.0  0.0  20260  6832 pts/33   Ss+  18:13   0:00          |   \_ bash
m         4239  0.0  0.0  33912  4632 ?        Ss   Feb06   0:22          \_ SCREEN
m         4240  0.0  0.0  20184  2668 pts/0    Ss+  Feb06   0:00          |   \_ /bin/bash
